iter	Passed	Remaining
609	12461	7967
610	12468	7938
611	12475	7909
612	12499	7890
613	12528	7876
614	12553	7858
615	12578	7841
616	12599	7821
617	12615	7797
618	12641	7780
619	12666	7763
620	12687	7743
621	12695	7715
622	12721	7698
623	12728	7669
624	12754	7652
625	12774	7631
626	12794	7611
627	12815	7591
628	12835	7570
629	12855	7550
630	12857	7519
631	12878	7498
632	12895	7476
633	12917	7457
634	12943	7440
635	12969	7422
636	12994	7405
637	13013	7383
638	13039	7366
639	13065	7349
640	13088	7330
641	13113	7312
642	13138	7294
643	13154	7271
644	13165	7246
645	13191	7228
646	13207	7205
647	13233	7188
648	13257	7170
649	13273	7147
650	13301	7130
651	13323	7111
652	13340	7089
653	13366	7071
654	13392	7053
655	13413	7033
656	13427	7010
657	13444	6987
658	13460	6965
659	13476	6942
660	13497	6922
661	13513	6899
662	13533	6879
663	13553	6858
664	13575	6838
665	13601	6821
666	13619	6799
667	13641	6779
668	13652	6754
669	13673	6734
670	13685	6709
671	13710	6692
672	13721	6667
673	13742	6646
674	13767	6628
675	13788	6608
676	13813	6590
677	13842	6574
678	13868	6556
679	13893	6538
680	13905	6513
681	13925	6493
682	13946	6472
683	13971	6454
684	13993	6435
685	14009	6412
686	14030	6392
687	14047	6370
688	14076	6353
689	14102	6335
690	14124	6316
691	14149	6297
692	14176	6280
693	14202	6261
694	14222	6241
695	14245	6221
696	14271	6204
697	14288	6181
698	14304	6159
699	14324	6139
700	14350	6120
701	14356	6094
702	14377	6074
703	14379	6045
704	14400	6025
705	14411	6001
706	14436	5982
707	14457	5962
708	14479	5943
709	14496	5920
710	14517	5900
711	14537	5880
712	14558	5859
713	14579	5839
714	14606	5822
715	14622	5799
716	14644	5780
717	14670	5761
718	14690	5741
719	14715	5722
720	14740	5704
721	14766	5685
722	14790	5666
723	14802	5642
724	14829	5625
725	14855	5606
726	14876	5586
727	14901	5567
728	14917	5545
729	14929	5521
730	14949	5501
731	14975	5482
732	14995	5462
733	15020	5443
734	15038	5421
735	15063	5403
736	15085	5383
737	15096	5359
738	15122	5340
739	15133	5317
740	15149	5295
741	15170	5274
742	15186	5252
743	15207	5232
744	15220	5209
745	15241	5189
746	15263	5169
747	15283	5148
748	15303	5128
749	15319	5106
750	15343	5087
751	15364	5067
752	15389	5048
753	15415	5029
754	15441	5010
755	15463	4990
756	15479	4968
757	15504	4950
